CHSI_State_Abbr,No_Exercise,Obesity,High_Blood_Pres,Smoker,Diabetes,Uninsured,Elderly_Medicare,Disabled_Medicare,Prim_Care_Phys_Rate,Dentist_Rate,Community_Health_Center_Ind,HPSA_Ind,Influenzae,HepA,HepB,Measeles,Pertusis,Congential.Rubella,Syphilis,Unemployed,Sev_Work_Disabled,Major_Depression,Recent_Drug_Use,Ecol,Salmonella,Shig,Toxic_Chem,Carbon_Monoxide_Ind,Nitrogen_Dioxide_Ind,Sulfur_Dioxide_Ind,Ozone_Ind,Particulate_Matter_Ind,Lead_Ind,Premature,Infant_Mortality,Brst_Cancer,Col_Cancer,CHD,ALE,All_Death,Health_Status
AL,33.432,28,32.003,26.9,8.5,4592,3642,1152,32.7,12.2,2,1,3,7,12,3,6,3,5,475,1190,1421,1156,4,63,23,88000,1,1,1,1,1,1,11.6,7.3,17.5,16.7,197.2,73.5,1072.3,25.5
AK,26.374,22.159,26.183,17.0005,7.645,488,685.495,80.07,73.7,0,1,1,3,4,6,3,3,3,3,100,86.15,171,212,3,3,3,25195,1,1,1,1,1,1,9.9,7.16,35.842,23.1475,152.918,76.9,620,15.734
AK,25.484,23.897,25.42,22.829,7.598,854,190,27,18.6,18.6,1,1,3,8,8,3,5,3,3,177,160.52,338,409,3,16,3,5362,1,1,1,1,1,1,8.2,7.242,34.271,30.057,189.5,76.9,1041.3,16.007
AK,19.313,19.961,22.281,19.117,5.581,37239,15489,3874,107.3,78.9,1,2,19,40,28,3,40,3,8,7950,6644.97,14238,20542,26,190,69,41319,1,1,1,1,1,1,10.1,5.9,21.6,15,116.6,76.9,793.2,12.402
AK,27.06733333,25.476,26.782,23.804,8.392,4088,804,142,75.9,58.4,1,2,19,36,5,3,5,3,5,893,750.12,754,1236,3,23,50,7454556.54,1,1,1,1,1,1,14.3,12.9,28.965,40.4,91.2,76.9,1001.7,17.728
AK,24.861,22.391,25.315,19.333,7.564,153,339,73,0,0,1,2,3,6,3,3,3,3,3,57,60.03,60,83,3,3,3,10935745.72,1,1,1,1,1,1,7.5,9.114,44.384,32.148,204.223,76.9,991.4,14.53
AK,26.438,22.426,25.932,18.301,7.582,276,480.58,58.43,0,0,1,1,3,3,3,3,5,3,3,102,79.794,107,140,3,3,3,247007,1,1,1,1,1,1,9.503,7.187,41.886,28.963,186.003,76.9,879.892,14.976
AK,23.673,22.17,25.601,21.057,6.807,1133,350,50,182.7,101.5,1,2,7,5,6,3,5,3,3,218,202.43,233,365,3,5,5,112691736.5,1,1,1,1,1,1,12.3,11.4,39.548,42.5,116.9,76.9,964.5,13.962
AK,20.47,21.392,24.933,22.647,6.574,11681,4275,958,93.7,75.4,1,2,10,11,12,3,21,3,3,2590,2227.22,4461,6826,18,95,19,4196772,1,1,1,1,1,1,9.4,6.9,24.7,17.7,137,76.9,827.9,13.952
AK,26.87,23.085,27.119,18.52375,7.874,355,279,33,88,44,1,2,3,4,3,3,3,3,3,129,85.45,132,170,3,4,5,16178654.37,1,1,1,1,1,1,8.2,8.071,40.77,30.317,142.5,76.9,775.1,15.129
AK,20.239,20.927,24.141,20.672,6.093,3926,2367,502,122.6,67.8,1,2,5,8,3,3,5,3,3,962,786.4,1677,2318,5,39,9,43364398,1,1,1,1,1,1,8.3,6.9,20.1,25.7,86.2,76.9,742.2,13.507
AK,22.241,22.676,25.445,23.68,6.659,8308,4150,942,78.9,40.4,1,2,11,18,18,3,83,3,3,2138,1532.6,2789,3933,26,59,22,2056342,1,1,1,1,1,1,9.4,6.6,20.1,16.1,164.3,76.9,873.3,14.642
AK,22.533,22.147,25.995,20.195,8.337,1804,1161,211,128.2,75.4,1,2,9,38,8,3,12,3,3,535,367.31,710,972,5,38,4,6701,1,1,1,1,1,1,8.4,6.4,30.8,30.5,166,76.9,941,14.952
AK,21.578,21.155,23.341,18.469,5.69,2491,382,34,91.9,61.3,1,2,7,18,11,3,7,3,3,505,391.04,662,953,5,54,8,4336,1,1,1,1,1,1,10.6,6.9,30.9,30.3,124.8,76.9,753.5,12.851
AK,26.703,24.269,25.831,23.3,8.459,395,362.25,59.2,0,0,1,1,6,3,3,3,3,3,3,78,78.244,77,125,3,3,3,18605046.08,1,1,1,1,1,1,9.9,8.054,42.484,33.517,216.8,76.9,1318.4,16.324
AK,23.059,23.593,24.008,23.31,6.504,9561,3977,1006,46,32.9,1,2,12,14,12,3,31,3,3,2514,1820.22,3994,5911,9,83,27,1961179.1,1,1,1,1,1,1,9.7,5.4,29.6,26,138.9,76.9,866.8,14.33
AK,27.41733333,25.168,26.691,25.033,8.115,1795,496,69,53.6,64.3,1,1,11,26,5,3,5,3,3,471,351.61,435,693,3,48,11,3993443.81,1,1,1,1,1,1,13.6,11.2,31.849,40.8,135.6,76.9,1089,16.069
AK,25.911,23.833,26.19,24.065,8.068,1202,298,62,57.8,43.3,1,1,8,52,6,3,5,3,3,350,228.71,313,501,3,10,7,109860440.9,1,1,1,1,1,1,12.7,9.5,35.95,34.906,137.7,76.9,1008.7,15.942
AK,26.80233333,25.061,25.75,26.356,8.867,1291,348,51,39.4,39.4,1,1,8,46,5,3,3,3,3,368,230.39,334,562,3,11,106,498749400,1,1,1,1,1,1,13,11,38.746,43.3,120.2,76.9,1119.9,16.015
AK,22.396,20.777,23.886,18.456,6.278,1176,401,74,35.3,53,1,1,3,9,3,3,22,3,3,334,180.5,306,426,3,7,3,4467074.59,1,1,1,1,1,1,8.5,9.4,34.516,27.025,151.8,76.9,829.8,13.791
AK,22.415,21.234,24.234,18.32,5.784,1093,749,94,189.2,77.9,1,2,5,13,5,3,6,3,3,257,225.68,484,682,3,18,7,1904923.05,1,1,1,1,1,1,8.3,6.6,31.015,25.3,170.1,76.9,828,14.226
AK,24.886,22.735,25.358,17.8925,7.127,598,322,69,0,0,1,1,3,4,5,3,3,3,3,241,135.029,178,238,3,4,3,6007294.09,1,1,1,1,1,1,9.3,7.117,38.558,28.29,119.1,77.815,674.7,14.27
AK,24.296,21.798,25.54,20.104,7.101,1306,451,85,30.2,60.5,2,1,5,7,3,3,3,3,3,336,214.65,340,523,3,7,4,1606,1,1,1,1,1,1,8.4,5.8,32.509,27.0868,151.8,76.9,951.3,14.484
AK,23.96,22.834,25.505,20.271,7.173,1551,634,114,50.5,30.3,1,2,3,8,6,3,8,3,3,494,283.73,532,754,3,25,9,193,1,1,1,1,1,1,8.4,5,31.023,21.829,146.6,76.9,826.4,16.013
AK,26.712,25.688,26.078,24.589,8.449,2244,378,50,0,0,1,2,10,67,4,3,3,3,3,525,331.45,302,559,3,12,7,106124850.4,1,1,1,1,1,1,14.7,10.3,40.717,46.3,101.3,76.9,1078.3,16.811
AK,24.387,21.706,24.518,18.754,7.202,1015,631,97,96.1,64.1,1,2,3,11,3,3,3,3,3,293,182.04,338,470,3,12,3,1266909.92,1,1,1,1,1,1,7,4.1,32.871,24.1,140.5,76.9,865.4,15.044
AK,28.062,27.153,26.286,23.867,8.98,114,225.09,41.32,0,0,1,1,3,3,3,3,3,3,3,34,32.10642857,41,54,3,3,3,49981494.36,1,1,1,1,1,1,12.029,12.414,45.387,35.476,220.051,75.934,1261.3,17.072
AK,28.874,26.024,27.636,26.005,8.33,1300,493,71,16.3,16.3,1,1,5,7,6,3,6,3,3,365,226.505,311,478,3,18,12,11900826.03,1,1,1,1,1,1,9.7,6.5,34.173,29.5,169.7,76.9,1192.1,18.373
AZ,22.6,24.6,18.4,14.3,7.5,17218,5982,1204,51.9,23.1,1,2,37,14,11,3,39,3,13,2313,1323,3344,4052,8,184,122,3173232,1,1,1,1,1,1,11.6,8.1,18.8,11.4,121.8,73.9,943.8,15.4
AZ,22.8,23.8,26,20.2,9.1,23944,17099,2795,42,28.5,1,2,9,41,25,3,7,3,15,2737,3232,6938,7031,8,112,91,652746,1,1,1,1,1,1,10.6,9.2,22.8,17.6,174.6,76.8,844,16.9
AZ,14.8,16.5,17.2,19.6,4.2,22678,11990,2218,87.2,58.9,1,2,23,53,39,3,61,3,16,3544,2509,6647,7642,22,263,136,1660634,1,1,1,1,1,1,12.8,5.6,25.9,13.9,114.8,78.5,764.8,10.8
AZ,32.7,24.5,34.5,25.6,8.8,10361,9981,1679,75.5,27.1,2,2,6,22,25,3,10,3,5,1276,1698,2899,2771,10,91,46,40671487,1,1,1,2,1,1,14.1,8.9,33.9,20.5,144.3,75.2,922.9,19
AZ,25.8,23.8,24.9,16.1,10.9,6343,3726,687,36.3,42.3,1,1,5,15,14,3,8,3,8,809,868,1752,1964,5,68,25,1517127.44,1,1,1,1,1,1,11.3,6.5,17.5,25.8,149.6,76.8,868.2,15.7
AZ,24.358,21.979,24.347,20.355,5,1082,907,160,39.9,13.3,1,1,5,9,5,3,4,3,3,199,204,398,415,3,15,4,5390247,1,1,1,1,1,1,11,6,27.4,18.3,160.3,76.8,909.9,14.18
AZ,26.6,22,27.18333333,18.1,8.3,4885,3324,477,34.6,9.9,2,1,6,43,10,3,3,5,3,521,586,1202,1068,3,47,28,80829,1,1,1,1,1,1,11.5,12,24.7,14.6,162.3,80.9,766.8,22.2
AZ,23.3,19.9,21.4,19.9,6.3,537647,337774,52336,69.8,33.5,1,2,144,924,737,5,747,3,830,74246,55889,195126,197150,171,2050,1469,1872997,1,1,1,2,2,1,12.8,6.4,23.9,17.7,170.9,77.8,780.8,14.4
AZ,27.9,25,30.6,29.4,7.5,31916,32200,5638,39,20.8,1,2,32,35,45,3,264,3,12,3485,5833,10755,9923,8,121,64,162926,1,1,1,1,1,1,12.8,6.4,23.5,21.5,183.9,74.8,970.8,21.7
AZ,23.7,25.1,27.1,19.8,8.8,22206,10326,2233,49.8,24,1,2,22,40,34,3,15,3,29,3140,2949,5446,6271,3,174,122,3838655,1,1,1,1,1,1,13.8,8,18.2,12.5,140.6,74.8,911.7,16.5
